WorkOrderID,EmployeeID,CustomerID,PriorityID,StatusID,SubmittedDate,WorkOrderDescription,StartDate,DueDate,ClosedDate,Notes,ProjectName
1714,105600,4038,1,5,7/1/2017, to track Holiday Time,7/1/2017,6/30/2018,6/30/2018,WO to track Holiday Time.,Holiday Time FY18
1715,105600,4038,1,5,7/1/2017, to track Leave Without Pay,7/1/2017,6/30/2018,6/30/2018,WO to track Leave Without Pay.,Leave Without Pay FY18
1716,105600,4038,1,5,7/1/2017, to track Sick Time,7/1/2017,6/30/2018,6/30/2018,WO to track Sick Time.,Sick Time FY18
1717,105600,4038,1,5,7/1/2018, to track meetings under P&M,7/1/2018,6/30/2019,7/6/2019,"WO to track meetings for P&M.
Created in error.  Not necessary.",Meetings (P&M) FY19
1718,105600,4038,1,5,7/1/2018, to track Annual Time,7/1/2018,6/30/2019,7/6/2019,WO to track Annual Time.,Annual Time FY19
1719,105600,4038,1,5,7/1/2018, to track Comp Time,7/1/2018,6/30/2019,7/6/2019,WO to track Comp Time.,Comp Time FY19
1720,105600,4038,1,5,7/1/2018, to track Holiday Time,7/1/2018,6/30/2019,7/6/2019,WO to track Holiday Time.,Holiday Time FY19
1721,105600,4038,1,5,7/1/2018, to track Leave Without Pay,7/1/2018,6/30/2019,7/6/2019,WO to track Leave Without Pay.,Leave Without Pay FY19
1722,105600,4038,1,5,7/1/2018, to track Sick Time,7/1/2018,6/30/2019,7/6/2019,WO to track Sick Time.,Sick Time FY19
1723,105614,4000,2,5,4/12/2006,NULL,4/12/2006,4/26/2006,4/26/2006,"<! 2006-04-12 09:26:26 crouse >

<P>i started this but nothing is done yet.</P>
<P>I took a nap today.</P>
<P>&nbsp;</P>
<! 2007-08-30 12:37:15 lgoar >

8/29/2007 per Liz Crouse, this was cancelled.
",ChartViewer programming in ArcMap
1724,105614,4001,3,5,4/12/2006,NULL,4/12/2006,4/14/2006,4/14/2006,"<! 2006-04-12 07:46:11 crouse >

John wants us to modify his Illustrator  files for his new Insar web page. 
<!--/*SC*/ 2006-04-12 09:57:46 mauldin /*EC*/-->

John wants an HTML web page designed to post on the web using his AI mockup.
<!--/*SC*/ 2006-04-",Design Insar web page
1725,105614,4002,4,5,4/12/2006,NULL,4/12/2005,4/12/2005,4/12/2005,Dead number,Dead Number
1726,105614,4003,5,5,4/19/2006,NULL,4/19/2006,4/21/2006,4/21/2006,"<! 2006-05-03 09:28:52 jhursh >

<P>layout list of sponsors and scholarship recipients with nice graphic of Mackay statue then plot and mount on foam core</P>
<P>&nbsp;</P>
<P>Two hours spent cartographic services</P>
",MSESE Scholarship and Sponsors poster
1727,105614,4004,1,5,5/3/2006,NULL,5/3/2006,5/31/2006,5/31/2006,"<! 2006-05-03 11:55:04 kpizarro >

Scan/edit/print at high quality 32 aerial photos for mappers
",Stockton Well Quad air photos
1728,105614,4005,2,5,5/8/2006,NULL,5/8/2006,5/8/2007,5/8/2007,"<! 2006-05-08 09:15:07 jhursh >

<P>typeset and publish</P>
<!--/*SC*/ 2006-07-27 11:04:17 jhursh /*EC*/-->

drafts reviewed by Dick 7/25, drafts reviewed by Jon 7/26, to Copy Center 7/27,
<!--/*SC*/ 2007-02-14 11:20:57 jhursh /*EC*/-->

received 8/10/06,",Major Mines 2005 SP P-17
1729,105614,4006,4,5,5/16/2006,NULL,5/16/2006,5/31/2006,5/31/2006,"<! 2006-05-16 10:37:38 mauldin >

Prepare figures for PowerPoint&nbsp;presentation&nbsp;from NV Fault Map and Pyramid Lake&nbsp;map that Gary is preparing. 
<!--/*SC*/ 2006-05-17 10:11:29 mauldin /*EC*/-->

<P>Changed color of lines and added new shapefil",Figures for PPT presentation
1730,105614,4007,3,5,5/11/2006,NULL,5/11/2006,6/30/2006,6/30/2006,"<! 2006-05-17 07:15:40 glj >

Support on 3D mapping and assistance to Mark Walker&#39;s students involved with research on a small pond in the South Lake Tahoe area of the influence of Dog poop draining into this pond. He is asking for GIS Support in mapp",Dog Poop project
1731,105614,4008,5,5,5/17/2006,NULL,5/17/2006,6/6/2006,6/6/2006,"<! 2006-05-17 09:35:06 glj >

<P>Download from the web the data and organize the data on a CD</P>
<! 2006-10-05 14:40:54 pattiw >

Changed Services Required from GIS_Data to GIS_Services per L Crouse (maintenance)
","OF 06-4 Creat a CD for The Timing and Evolution of Cenozoic Extensional Normal Faulting in Southern Tobin Range, pershing County, Nevada"
1732,105614,4009,1,5,5/18/2006,NULL,5/18/2006,5/18/2007,5/18/2007,"<! 2006-05-18 09:23:10 jhursh >

Geology map
<!--/*SC*/ 2006-08-08 10:36:11 jhursh /*EC*/-->

Final draft of text to Dick 8/8,
<! 2006-10-05 15:10:06 pattiw >

Changed Services Required from Map Creation to Maps per L Crouse (maintenance)
",Sant Renia Fields Quad geology map
1733,105614,4010,2,5,5/23/2006,NULL,5/23/2006,5/26/2006,5/26/2006,"<! 2006-05-23 08:53:42 mauldin >

Export faults for the Nixon &amp; Wadsorth maps to a single shapefile. 
<!--/*SC*/ 2006-05-23 08:55:53 mauldin /*EC*/-->

Liz exported her Nixon faults and put in the Nixon_Wadsworth --&gt; FAULTSONLY folder on the L driv",Nixon & Wadsworth faults
1734,105614,4011,3,5,5/30/2006,NULL,5/30/2006,6/2/2006,6/2/2006,"<! 2006-05-30 10:29:11 mauldin >

Put together poster using Jon&#39;s guidelines and files provided. 
<!--/*SC*/ 2006-06-30 14:25:06 mauldin /*EC*/-->

<P>File is out on web, and Charlotte as sent out an email release, but keeping work order open until we",Poster for Division of Minerals - White Pine County
1735,105614,4012,4,5,5/31/2006,NULL,5/31/2006,5/31/2007,5/31/2007,"<! 2006-05-31 11:14:09 glj >

<P>GIS data editing and management of data.</P>
<P>&nbsp;</P>
<P>Data is located on the Library Geothermal &#34;T&#34; drive.</P>
<! 2006-06-06 08:19:51 glj >

<P>2 account numbers are&#58;</P>
<P>1320 114 1668</P>
<P>1320 11",Geothermal GIS project
1736,105614,4013,1,5,6/13/2006,NULL,6/13/2006,8/25/2006,8/25/2006,"<! 2006-06-12 11:14:45 jhursh >

typeset and print
<!--/*SC*/ 2007-02-13 12:14:36 jhursh /*EC*/-->

.pdf files to Copy Center 1-17-07
<!--/*SC*/ 2007-02-13 12:16:18 jhursh /*EC*/-->

<P>draft approved 2-7-07</P>
<!--/*SC*/ 2007-02-13 12:20:42 jhursh /*EC*",The Nevada Mineral Industry 2005
1737,105614,4014,2,5,6/13/2006,NULL,6/13/2006,7/1/2006,7/1/2006,"<! 2006-06-12 11:43:07 jhursh >

Make edits and print 40 copies in color
<!--/*SC*/ 2006-06-15 12:30:50 jhursh /*EC*/-->

<P>Approved by Dick 6/15, to Kinko&#39;s 6/15,</P>
<!--/*SC*/ 2006-07-07 10:32:16 jhursh /*EC*/-->

Proof made 6/14, approved by Jon ",NPS Field Trip Guide
1738,105614,4015,5,5,6/12/2006,NULL,6/12/2006,7/12/2006,7/12/2006,"<! 2006-06-13 07:29:08 glj >

<P>Convert Illustrator file to GIS Layers. Original Illustrator files found on NBMG PUB Zip disk # 1.</P>
<P>&nbsp;</P>
<P>Data is on Library drive&#92;statemap&#92;2006&#92;0498_Reveille</P>
<P>&nbsp;</P>
<P>Gary set folders",State Map Project (Reveille Map 104)
1739,105614,4016,4,5,6/20/2006,NULL,6/20/2006,7/20/2006,7/20/2006,"<! 2006-06-20 08:43:13 glj >

Convert Illustrator file to GIS Layers
<!--/*SC*/ 2006-10-05 14:40:06 pattiw /*EC*/-->

Changed Services Required from GIS_Data to GIS_Services per L Crouse (maintenance)
<! 2007-08-31 14:21:57 lgoar >

Project cancelled.
",State Map Map 106 Fire Mountain
1740,105614,4017,5,5,6/20/2006,NULL,6/20/2006,6/30/2006,6/30/2006,"<! 2006-06-20 10:21:07 mauldin >

Design poster using ArcView generated maps, captions and tables&nbsp;provided by Ron, etc.&nbsp;that is similar to the White Pine County Poster (w/o # 1734)
<!--/*SC*/ 2006-06-22 14:42:27 mauldin /*EC*/-->

1st draft comp",Poster for Division of Minerals - Pershing County
1741,105614,4018,1,5,6/20/2006,NULL,6/20/2006,6/30/2006,6/30/2006,"<! 2006-06-20 10:23:31 mauldin >

Design poster using ArcView generated maps, captions, &amp; tables provided by Ron, etc. that is similar to the White Pine County poster (w/o # 1734)
<!--/*SC*/ 2006-06-22 14:41:42 mauldin /*EC*/-->

<P>1st draft complete",Poster for Division of Minerals - Lyon County
1742,105614,4019,3,5,6/19/2006,NULL,6/19/2006,6/30/2006,6/30/2006,"<! 2006-06-21 16:37:30 jhursh >

register mining claims to the Township and Range information
<!--/*SC*/ 2006-10-05 15:09:46 pattiw /*EC*/-->

Changed Services Required from Map Creation to Maps per L Crouse (maintenance)
<! 2007-02-14 11:24:43 jhursh >

",Eureka County Mining Claims location map for MSESE
1743,105614,4020,2,5,7/3/2006,NULL,7/3/2006,7/30/2006,7/30/2006,"<! 2006-07-03 08:44:49 glj >

<P>Convert Illustrator file to GIS layers for State Map 2006,</P>
<P>&nbsp;</P>
<P>Files are located on gary12/D-drive/workspace/655Castle Mountain</P>
<! 2006-10-05 14:39:44 pattiw >

Changed Services Required from GIS_Data ",State Map 2006 - Map 108 Castle Mountain
1744,105614,4021,3,5,7/5/2006,NULL,7/5/2006,8/1/2006,8/1/2006,"<! 2006-07-05 10:19:26 kpizarro >

Edit and print 80 aerial photographs
",Lahontan Mountains statemap 2006
1745,105614,4022,4,5,7/12/2006,NULL,7/12/2006,7/12/2006,7/12/2006,"<! 2006-07-12 11:23:57 jhursh >

scan text for Map 101 and Map 105 and create .pdf
<!--/*SC*/ 2006-07-13 16:11:33 jhursh /*EC*/-->

to Dick 7/12/06, done. Archived 7/13/06.
<! 2006-07-13 16:27:02 jhursh >

<P>Archived on CD218 and BCD218</P>
",Map 101 and M105 text to .pdf
1746,105614,4023,5,5,7/14/2006,NULL,7/14/2006,8/14/2006,8/14/2006,"<! 2006-07-14 11:07:16 jhursh >

Retrieve information from publications so D.D. Lapointe can develop Earthcache activity
<!--/*SC*/ 2006-07-14 11:08:07 jhursh /*EC*/-->

Information on several topics e-mailed to D.D. 7/14/06
<!--/*SC*/ 2007-02-14 11:25:26",Earthcache information for DD
1747,105614,4024,1,5,7/25/2006,NULL,7/25/2006,8/25/2006,8/25/2006,"<! 2006-07-25 15:17:21 glj >

<P>Initial data folder is found on the Library drive&#92;statemap&#92;2006&#92;0820MormanJackPass</P>
<P>&nbsp;</P>
<! 2006-10-05 14:39:19 pattiw >

Changed Services Required from GIS_Data to GIS_Services per L Crouse (mainte",State Map 2006 (Morman Jack Pass)
1748,105614,4025,2,5,7/25/2006,NULL,7/25/2006,8/25/2006,8/25/2006,"<! 2006-07-25 15:19:32 glj >

Data located on the Library drive
<!--/*SC*/ 2006-10-05 14:38:59 pattiw /*EC*/-->

Changed Services Required from GIS_Data to GIS_Services per L Crouse (maintenance)
<! 2007-08-31 14:23:18 lgoar >

Project cancelled.
",Statemap 2006 (Mount Moriah_
1749,105614,4026,3,5,7/25/2006,NULL,7/25/2006,8/25/2006,8/25/2006,"<! 2006-07-25 15:21:53 glj >

Data located on the Library drive
<! 2006-10-05 14:38:38 pattiw >

Changed Services Required from GIS_Data to&nbsp;GIS_Services per L Crouse (maintenance)
",Statemap 2006 (FS 20 Little Horse Canyon)
1750,105614,4027,2,5,8/8/2006,NULL,8/8/2006,8/8/2007,8/8/2007,"<! 2006-08-08 10:40:18 jhursh >

Convert the following publications to .pdf form for the web&#58; FS-16 text, FS-17 text, B110, R49, SP33 IM proceedings
<!--/*SC*/ 2006-08-08 11:46:46 jhursh /*EC*/-->

and B111
<! 2007-04-02 12:06:28 jhursh >

<P>B110, B1",Convert older pubs to .pdf
1751,105614,4028,4,5,8/9/2006,NULL,8/9/2006,8/9/2007,8/9/2007,"<! 2006-08-09 15:04:09 jhursh >

<P>reprint estimates on NPS4, 6, 8, 9, 12,13,16, and Field trip guidebook</P>
<! 2007-04-23 08:57:54 jhursh >

received from Copy Center 1-4-07, all copies made from hard copy originals, no digital archive, done.
",Nevada Petroleum Society reprints
1752,105614,4029,5,5,8/9/2006,NULL,8/9/2006,8/9/2007,8/9/2007,"<! 2006-08-09 15:22:52 jhursh >

<P>reformat word file into a table for publishing</P>
<!--/*SC*/ 2006-08-16 10:30:19 jhursh /*EC*/-->

draft to John Bell 8/11/06, approved by John 8/14/06, .pdf to John 8/14/06, done.
<! 2006-10-05 15:10:39 pattiw >

Chan",John Bell Mono-Inyo Craters radiocarbon data
1753,105614,4030,4,5,8/11/2006,NULL,8/11/2006,9/8/2006,9/8/2006,"<! 2006-08-11 14:27:24 jhursh >

layout poster 4&#39;x8&#39;
<! 2007-02-14 11:26:34 jhursh >

to Lisa 8/21/06, done.
",Great Basin Center for Geothermal Energy poster
1754,105614,4031,5,5,8/14/2006,NULL,8/14/2006,9/14/2006,9/14/2006,"<! 2006-08-15 07:44:44 crouse >

<P>Create a digital page sized map for the selected area from the USGS MF-2260 Monte Cristo Range geologic map on a 1&#58;24,000 base.&nbsp; Scan and redigitize the geology.&nbsp; Place lat/long and or UTM grid ticks.</P>
",Prepare map of Monte Cristo Range/Blair Junction for EarthCache
1755,105614,4032,1,5,8/15/2006,NULL,8/15/2006,9/15/2006,9/15/2006,"<! 2006-08-15 07:46:49 crouse >

Convert the Geothermal map M141 to ArcGIS using excel files attached to email 08/14/06 from Lisa. 
<!--/*SC*/ 2006-10-05 15:08:52 pattiw /*EC*/-->

Changed Services Required from Map Update to Maps per L Crouse (maintenanc",Convert M141 to ArcMap
1756,105614,4033,1,5,8/29/2006,NULL,8/29/2006,10/15/2006,10/15/2006,"<! 2006-08-29 08:08:33 crouse >

The old geology on the Ivanpah Valley area individual 24,000 geologic maps that are OF needs to be replaced with the geology in the Ivanpah_u83_final.mdb from the Library drive in Kyle_House/Ivanpah_Project, using the same",Replace geology in 24K Ivanpah area OF maps
1757,105614,4034,2,5,8/15/2006,NULL,8/15/2006,9/15/2006,9/15/2006,"<! 2006-08-29 08:17:06 crouse >

Charge $38 per hour.&nbsp; Waiting for Linda Newman to get a better scan from Storey County original, then I need to georeference it and perhaps reprint it.&nbsp; Tiffany has already scanned&nbsp;(per John&#39;s first requ",Georeference John Benips map of Virginia Gold Hill and Devils Gate mining district
1758,105614,4035,3,5,8/10/2006,NULL,8/10/2006,9/7/2006,9/7/2006,"<! 2006-08-29 08:38:20 crouse >

<P>Need to convert STATEMAP figures to GIS.</P>
<P>&nbsp;</P>
",STATEMAP 2007 proposal figures
1759,105614,4036,2,5,8/29/2006,NULL,8/29/2006,9/6/2006,9/6/2006,"<! 2006-08-29 08:50:05 crouse >

<P>from goldfield area in nye county into esmeralda and mineral county vicinity of hawthorne.</P>
<P>&nbsp;</P>
<P>any plans to convert&nbsp;1 x 2 degree sheets of walker&nbsp;and tonopah USGS pubs to digital to clean it u",Nevada State Geologic map --OF first??
1760,105614,4037,1,5,8/9/2006,NULL,8/9/2006,9/1/2006,9/1/2006,"<! 2006-08-29 09:21:01 crouse >

I am going to need the following digital orthoquad airphotos &nbsp;for &nbsp;&nbsp;the &nbsp;Jerritt Project to cover the extremities of the map area, &nbsp;&nbsp;which the &nbsp;mine&#39;s &nbsp;orthophoto does not cover.",Jerritt Canyon DOQQs reprojected to Jerritt Grid
1761,105614,4040,3,5,8/8/2006,NULL,8/8/2006,9/1/2006,9/1/2006,"<! 2006-08-29 09:27:38 crouse >

Liz,<BR><BR>A month or so ago, John Bell asked you to scan a copy of an old map of the Lahontan Mtn area. We need to have that map georeferenced to use in our Lahontan Mtn map project. Could you evalute the quality of the ",georeference Carson Lake 15 Quad
1762,105614,4039,4,5,8/1/2006,NULL,8/1/2006,9/7/2006,9/7/2006,"<! 2006-08-29 09:32:18 crouse >

<P>Put together the digitizing Priority 2 portion of the STATEMAP 2007 proposal due Nov 2, 2006.</P>
<P>Figure out how much per map.</P>
<P>Find out how much we can use for match.</P>
<P>Find out how many maps.</P>
<P>Find",STATEMAP 2007 proposal digitizing project
1763,105614,4040,3,5,8/30/2006,NULL,8/30/2006,10/15/2006,10/15/2006,"<! 2006-08-29 09:39:12 crouse >

<P>Put together the outline by October 15th.</P>
<P>&nbsp;</P>
<! 2006-10-05 14:35:29 pattiw >

Changed Services Required from Journal Article to Figures per L Crouse (maintenance)
",NBMG Cartographic procedure manual OF
1764,105614,4041,2,5,8/9/2006,NULL,8/9/2006,9/1/2006,9/1/2006,"<! 2006-08-29 09:47:20 crouse >

<P>Ask Jon about&#58; getting a bigger hard drive<BR>for the &#34;Rocket Scanner Controller; upgrading the &#34;Scanner 3&#34; (Tanya&#39;s)<BR>computer; upgrading &#34;Scanner 2&#34; (Marli&#39;s old computer) and giving ",Upgrade computer equipment for Scanning Project
1765,105614,4042,4,5,8/22/2006,NULL,8/22/2006,9/15/2006,9/15/2006,"<! 2006-08-29 09:48:34 crouse >

Would anyone in Cartography have time to lighten the background on our file for OF96-6, Oil and gas map? If not, we will just wait. The map used to have a white background and now the copy we print from the Web (no, not on",Lighten background for OF96-6 Oil and Gas map
1766,105614,4043,3,5,8/18/2006,NULL,8/18/2006,4/15/2008,4/15/2008,"<! 2006-08-29 09:53:33 crouse >

<P>Committee will determine which maps/themes to include.</P>
<P>Jack and I are on a hunt for a price estimate.</P>
<P>Bear can do hardcover binding/printing.</P>
<P>Meeting 8/30/06 9am-10&#58;30am 401 SEM.</P>
<P>Will hav",Nevada Atlas Book project
1767,105614,4044,5,5,8/1/2006,NULL,8/1/2006,9/15/2006,9/15/2006,"<! 2006-08-29 09:58:48 crouse >

<P>Had meeting with Jon to discuss how to reprint vs. photocopy.</P>
<P>Decided to reprint with Bear, 4000 copies.</P>
<P>Getting&nbsp;detailed bid&nbsp;from Bear for reprinting B111.</P>
<P>&nbsp;</P>
<!--/*SC*/ 2006-08-2",Bulletin 111 Carlin Reprint
1768,105614,4045,1,5,7/30/2005,NULL,7/30/2005,8/15/2005,8/15/2005,"<! 2006-09-01 08:51:05 mauldin >

<P>-Put Kristen&#39;s word doc of State Micrographics CDs into Access and create a look-up form for QAers to use.&nbsp; They use it for look ups only, no additions or edits.</P>
<P>&nbsp;</P>
<P>-Access .mdb file (complet",State Micrographics Look-Up Form
1769,105614,4046,1,5,3/1/2006,NULL,3/1/2006,6/1/2006,6/1/2006,"<! 2006-09-01 09:10:29 mauldin >

<P>-Put Marli&#39;s word docs into Access &amp; create a system for Tiffany to track her backups with least amount of possibility for error.</P>
<P>&nbsp;</P>
<P>-.mdb file on Tiffany&#39;s computer.&nbsp; Tiffany is the ",Flat File CD Backups Database (MD_Backups)
1770,105614,4047,2,5,7/30/2005,NULL,7/30/2005,8/1/2006,8/1/2006,"<! 2006-09-01 09:23:31 mauldin >

<P>-Move Kristen&#39;s spreadsheet to Access - eventually tie in GEOINDEX.</P>
<P>&nbsp;</P>
<P>-.mdb file given to Kristen 7/14 and documentation given to KS, MH &amp; LC.</P>
<!--/*SC*/ 2006-09-01 09:27:22 mauldin /*EC*",QA progress Database (MD_QAprog)
1771,105614,4048,1,5,8/1/2006,NULL,8/1/2006,9/1/2006,9/1/2006,"<! 2006-09-01 09:39:26 mauldin >

<P>-move PCfile GEOINDEX to Access so Martha can more easily QA &amp; make revisions to DB.&nbsp; After Martha is done, Access DB will go back to PCFile for Kristen to finish updates.&nbsp; Later, after Kristen is done,&n",GEOINDEX (PCfile) moved to Access temporarily
1772,105614,4049,3,5,8/1/2005,NULL,8/1/2005,8/1/2007,8/1/2007,"<! 2006-09-01 11:01:51 mauldin >

<P>-Move SCANs.xls to Access for CD backup tracking of mining district files (separate from Flat Files and Folded Flat Maps).&nbsp; Eventually combine with MD_CDbackups.mdb when we have a server. SCANs.xls is very messy..",SCANs spreadsheet to Access
1773,105614,4050,4,5,9/6/2006,NULL,9/6/2006,10/31/2006,10/31/2006,"<! 2006-09-06 11:26:17 mauldin >

Prepare north half of the Searchlight Quadrangle for Oct. 31, 2006&nbsp; deliverable (STATEMAP 2005).&nbsp; Linework submitted on mylar. 
<!--/*SC*/ 2006-11-01 06:44:12 mauldin /*EC*/-->

<P>Inset linework and labels subm",STATEMAP 2005 - North Half of Searchlight Quadrangle
1774,105614,4051,5,5,9/7/2006,NULL,9/7/2006,10/7/2006,10/7/2006,"<! 2006-09-08 08:09:20 mauldin >

<P>Prepare map of Reno &amp; Walker Lake 1&#58;250,000 topos with faults &amp; seismicity&nbsp;that Craig provides; prepare figure(s) to go with map</P>
<! 2007-09-12 10:46:21 mauldin >

Never rec&#39;d anything from auth",Reno/Walker Lake map and figures
1775,105614,4052,1,5,9/7/2006,NULL,9/7/2006,9/7/2006,9/7/2006,Dead number,Dead Number
1776,105614,4053,5,5,10/10/2006,NULL,10/10/2006,10/17/2006,10/17/2006,"<! 2006-10-10 12:26:12 jhursh >

<P>Slides for Powerpoint for Al Coyner</P>
<!--/*SC*/ 2006-10-12 14:58:55 jhursh /*EC*/-->

Nine figures e-mailed to Al Coyner 10/12/06
<! 2006-11-07 10:36:07 jhursh >

created several more MI slides for Al Coyner 11/6, se",MI Slides 2005
1777,105614,4054,1,5,10/11/2006,NULL,10/11/2006,10/20/2007,10/20/2007,"<! 2006-10-18 08:06:15 mauldin >

<P>Ron gave files to Jennifer on L drive on 10/18/06; Heather working on project.</P>
<!--/*SC*/ 2006-10-18 15:32:08 mauldin /*EC*/-->

Heather worked on poster for 3.5 hrs, had problems with files and passed project back",Roadless poster for Div. of Minerals
1778,105614,4055,2,5,10/11/2006,NULL,10/11/2006,11/11/2006,11/11/2006,"<! 2006-10-18 13:00:00 jhursh >

Revise w/o 1297 figure
<! 2006-10-18 14:40:36 jhursh >

Reviewed, approved, and delivered to Craig 10/18/06, done.
",Historical and Prehistoric EQs in the Reno area Craig dePolo
1779,105614,4056,4,5,11/2/2006,NULL,11/2/2006,11/30/2006,11/30/2006,"<! 2006-11-02 08:52:46 mauldin >

<P>Revamp GBCGE brochure.</P>
<P>&nbsp;</P>
<P>Peggy Brown brought Microsoft Publisher file of brochure on thumb drive 10/20/06;</P>
<P>&nbsp;</P>
<P>In prog...</P>
<!--/*SC*/ 2006-11-02 09:00:04 mauldin /*EC*/-->

needed",GBCGE Brochure
1780,105614,4057,4,5,11/30/2005,NULL,11/30/2005,11/30/2006,11/30/2006,"<! 2006-11-06 13:40:34 arrittc >

STATEMAP 2005 North half of the Jerritt Canyon Mining District
",StateMap 2005 Jerritt Canyon
1781,105614,4058,5,5,11/30/2005,NULL,11/30/2005,11/30/2006,11/30/2006,"<! 2006-11-06 13:51:10 arrittc >

StateMap 2005 Full Seven Lakes Mountain quad geologic map
",StateMap 2005 Seven Lakes Mountain
1782,105614,4059,1,5,2/1/2007,NULL,2/1/2007,4/1/2007,4/1/2007,"<! 2006-11-07 10:51:48 jhursh >

Hans-Peter Plag bulletin on Geodetic Infrastructure
<!--/*SC*/ 2006-11-07 10:52:48 jhursh /*EC*/-->

Specs faxed to Bear 11/7/06.
<!--/*SC*/ 2007-02-02 08:41:06 jhursh /*EC*/-->

Faxed Bear updated specs to obtain more acc",Geodetic Infrastructure Bulletin 112
1783,105614,4060,5,5,11/8/2006,NULL,11/8/2006,12/8/2006,12/8/2006,"<! 2006-11-08 11:19:27 jhursh >

Recover PageMaker file from 1997 and resave it in Word so that Paul can make edits for reprint. 
",Gold from Water SP22
1784,105614,4061,1,5,11/8/2006,NULL,11/8/2006,11/8/2006,11/8/2006,Dead number,Dead Number
1785,105614,4062,5,5,12/5/2006,NULL,12/5/2006,3/31/2007,3/31/2007,"<! 2006-12-05 09:44:24 mauldin >

Develop database system for tracking aerial photo scans, set up like Mining District CD index;
<!--/*SC*/ 2006-12-05 16:35:08 mauldin /*EC*/-->

Discussed w/Kristen what fields and formats for fields/form she would like 1",Aerial Photo CD Index
1786,105614,4000,1,5,12/5/2006,NULL,12/5/2006,1/31/2007,1/31/2007,"<! 2006-12-05 11:58:01 jhursh >

<P>Text copied from SP19 and e-mailed to Caia Cupito to use for a Mt. Rose scenic byway proposal.</P>
<P>&nbsp;</P>
<P>Caia Cupito</P>
<P>Natural Light</P>
<P>174 Eastbrook Way</P>
<P>Ashland, OR </P>
<P>&nbsp;</P>
<P>caia",Mt. Rose scenic byway information from SP19 to Caia Cupito
1787,105614,4001,2,5,12/10/2006,NULL,12/10/2006,12/24/2006,12/24/2006,"<! 2006-12-05 12:05:18 jhursh >

typeset sign, print, mount on foam core
<! 2006-12-08 09:24:29 jhursh >

To Connie Parratt 12/7/06, done. 2 Hours
",MSESE banquet sign for Connie Parratt
1788,105614,4002,3,5,12/15/2006,NULL,12/15/2006,1/30/2007,1/30/2007,"<! 2006-12-07 09:28:51 mauldin >

<P>draft poster for Nye county similar to previous posters for White Pine, Lyon, and Pershing counties; Ron will provide files possibly by today (maybe not geothermal figure);&nbsp;they would like draft by Fri 12/15;</P>
",Nye County Poster
1789,105614,4003,4,5,12/20/2006,NULL,12/20/2006,12/30/2006,12/30/2006,"<! 2006-12-14 10:38:57 jhursh >

reprint NPS4, NPS6, NPS8, NPS9, NPS13, and NPS16
<! 2007-01-18 10:39:09 jhursh >

<P>Copies received from Copy Center 1/17/06</P>
<P>15 NPS4; 10 NPS6; 10 NPS8; 20 NPS9; 15 NPS13; 10 NPS16</P>
",Nevada Petroleum Society publication reprints
